Title,Authors,DOI,DOI link,Venue,Citation count,Year
"Deep federated learning: a systematic review of methods, applications, and challenges","Lakshan Cooray, Janaka Sendanayake, Pramuditha Vithanaarachchi, Y. H. P. P. Priyadarshana",10.3389/fcomp.2025.1617597,https://doi.org/10.3389/fcomp.2025.1617597,Frontiers of Computer Science,0,2025
"AI-Powered Soil Nutrient Assessment and Crop Yield Prediction: A Systematic Review of ML, DL, and IoT Approaches in Smart Agriculture","M.Antony Sajin, Hubin",10.65379/tpsn2013/ijaemsv01i01p1,https://doi.org/10.65379/tpsn2013/ijaemsv01i01p1,International Journal of Advanced Engineering and Management System,0,2025
A Survey of Semantic Parsing Techniques,"Peng Jiang, Xiao-Sheng Cai",10.3390/sym16091201,https://doi.org/10.3390/sym16091201,Symmetry,7,2024
"A Systematic Review on Deep Learning in Education: Concepts, Factors, Models and Measurements","Jing Chen, Charanjit Kaur Swaran Singh",10.54097/gzk2yd38,https://doi.org/10.54097/gzk2yd38,Journal of Education and Educational Research,3,2024
Diagram Image Retrieval and Analysis: Challenges and Opportunities,"Liping Yang, Ming Gong, V. Asari",10.1109/CVPRW50498.2020.00098,https://doi.org/10.1109/CVPRW50498.2020.00098,2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),16,2020
Internet of Things and Deep Learning,"Mingxing Duan, Kenli Li, Liang Keqin",10.1007/978-3-030-43795-4_6,https://doi.org/10.1007/978-3-030-43795-4_6,Scalable Computing and Communications,0,2020
Data Governance and Human Rights: An Algorithm Discrimination Literature Review and Bibliometric Analysis,Yi Wu,10.26855/jhass.2023.01.018,https://doi.org/10.26855/jhass.2023.01.018,Journal of Humanities Arts and Social Science,3,2023
Speaker Recognition through Deep Learning Techniques: A Comprehensive Review and Research Challenges,"Nirupam Shome, Anisha Sarkar, Arit Ghosh, R. Laskar, Richik Kashyap",10.3311/ppee.20971,https://doi.org/10.3311/ppee.20971,Periodica Polytechnica Electrical Engineering and Computer Science,9,2023
A Survey of Current Progress in Depression Detection Using Deep Learning and Machine Learning,"Meena Kumari, Gurpreet Singh, S. Pande",10.1007/s44174-025-00301-9,https://doi.org/10.1007/s44174-025-00301-9,Biomedical Materials &amp; Devices,0,2025
The Human-Centric Paradox of AI in HRM: How Technostress and Digital Literacy Co-Determine Employee Productivity in Smart Work Environments,"Muhammad Amoon Khalid, Muzammil Sohail, Mirza Muhammad Bilal Baig, Saquib Yusaf, Asif Iqbal, Muhammad Irfan Syed",10.63544/ijss.v4i4.191,https://doi.org/10.63544/ijss.v4i4.191,Inverge Journal of Social Sciences,0,2025
